mCA	sex	expected_gradient	observed_gradient	gradient_difference	gradient_relative_difference	lower_CI_difference	upper_CI_difference	p_value							
14q=	female	5.13E-05	2.85E-05	2.28E-05	-0.443989071	2.58E-06	4.04E-05	0.010951052							
14q=	male	5.72E-05	4.95E-05	7.68E-06	-0.134318946	-1.36E-05	2.82E-05	0.237189208							
15q+	female	7.18E-06	1.21E-05	4.96E-06	0.690376569	-9.60E-06	1.87E-05	0.248076819							
15q+	male	5.75E-05	0.000119399	6.19E-05	1.075813532	2.71E-05	9.22E-05	0.000292774							
15q=	female	4.42E-05	2.11E-05	2.31E-05	-0.522536806	7.78E-06	3.75E-05	0.001473187							
15q=	male	3.39E-05	2.87E-05	5.21E-06	-0.153482881	-1.15E-05	2.12E-05	0.270761984							
16p=	female	2.09E-05	8.84E-06	1.20E-05	-0.576165305	5.05E-07	2.27E-05	0.022891435							
16p=	male	2.51E-05	1.08E-05	1.43E-05	-0.569047999	2.63E-06	2.57E-05	0.010157806							
16q=	female	1.41E-05	7.93E-06	6.16E-06	-0.437144482	-1.92E-06	1.42E-05	0.075722495							
16q=	male	1.74E-05	6.86E-06	1.05E-05	-0.605893186	4.04E-07	2.06E-05	0.023758501							
17p=	female	7.88E-06	4.81E-07	7.40E-06	-0.938946833	3.64E-07	1.42E-05	0.021003644							
17p=	male	7.88E-06	6.97E-06	9.02E-07	-0.114503817	-6.04E-06	7.09E-06	0.395798777							
17q=	female	2.71E-05	9.58E-06	1.75E-05	-0.646711013	4.24E-06	2.97E-05	0.006035918							
17q=	male	3.06E-05	9.75E-06	2.08E-05	-0.680983607	6.36E-06	3.46E-05	0.002839504							
19p=	female	1.57E-05	4.28E-06	1.15E-05	-0.728302367	2.27E-06	1.95E-05	0.007137517							
19p=	male	1.43E-05	5.82E-06	8.44E-06	-0.59202023	-1.15E-06	1.73E-05	0.047209223							
19q=	female	1.64E-05	1.06E-05	5.83E-06	-0.355449658	-3.18E-06	1.45E-05	0.107065487							
19q=	male	1.73E-05	9.95E-06	7.39E-06	-0.426028664	-3.82E-06	1.74E-05	0.095337609							
1p=	female	5.11E-05	2.10E-05	3.01E-05	-0.589341693	1.00E-05	4.82E-05	0.001706938							
1p=	male	5.82E-05	4.54E-05	1.28E-05	-0.220461591	-9.44E-06	3.35E-05	0.121897784							
1q=	female	3.89E-05	1.27E-05	2.62E-05	-0.673543063	1.00E-05	4.09E-05	0.000697176							
1q=	male	4.48E-05	2.32E-05	2.16E-05	-0.481100425	2.58E-06	3.86E-05	0.012797781							
20q-	female	3.28E-05	2.76E-05	5.18E-06	-0.157862595	-5.91E-06	1.50E-05	0.174426323							
20q-	male	6.59E-05	6.41E-05	1.76E-06	-0.02678028	-1.63E-05	1.77E-05	0.42829079							
20q=	female	1.42E-05	1.25E-05	1.65E-06	-0.116233032	-7.00E-06	9.67E-06	0.352781977							
20q=	male	1.31E-05	-2.68E-06	1.58E-05	-1.204775023	5.44E-06	2.52E-05	0.001551182							
21q+	female	1.65E-05	-2.81E-07	1.68E-05	-1.016990291	4.24E-06	2.85E-05	0.005308686							
21q+	male	1.45E-05	1.48E-05	3.43E-07	0.023651452	-8.18E-06	8.18E-06	0.473176662							
21q=	female	1.30E-05	-1.14E-06	1.41E-05	-1.087581094	4.89E-06	2.18E-05	0.000854764							
21q=	male	1.59E-05	8.74E-06	7.18E-06	-0.451019894	-1.92E-06	1.57E-05	0.064655938							
22q+	female	1.93E-05	1.70E-05	2.29E-06	-0.118666944	-6.53E-06	1.06E-05	0.30471903							
22q+	male	1.80E-05	8.20E-06	9.80E-06	-0.544441969	4.04E-07	1.90E-05	0.021370764							
22q=	female	2.45E-05	2.06E-05	3.92E-06	-0.16004912	-8.64E-06	1.59E-05	0.27779796							
22q=	male	2.48E-05	2.69E-05	2.00E-06	0.080645161	-1.16E-05	1.46E-05	0.383790849							
2p-	female	2.06E-05	7.68E-06	1.29E-05	-0.627105443	4.27E-06	2.14E-05	0.002232217							
2p-	male	1.48E-05	1.06E-05	4.23E-06	-0.284750337	-3.33E-06	1.12E-05	0.138531752							
2p=	female	1.13E-05	6.22E-06	5.05E-06	-0.447822222	-3.18E-06	1.24E-05	0.109441472							
2p=	male	9.01E-06	7.24E-06	1.78E-06	-0.196976434	-7.21E-06	9.96E-06	0.350847966							
2q=	female	1.64E-05	1.90E-06	1.45E-05	-0.884004884	5.00E-06	2.32E-05	0.001794951							
2q=	male	1.38E-05	7.05E-07	1.31E-05	-0.948985507	2.53E-06	2.27E-05	0.007632256							
3p=	female	1.08E-05	7.82E-07	9.98E-06	-0.927347243	1.87E-06	1.68E-05	0.006338872							
3p=	male	1.25E-05	1.09E-05	1.58E-06	-0.126907631	-7.55E-06	1.02E-05	0.371198022							
3q=	female	8.05E-06	3.95E-06	4.10E-06	-0.509339975	-2.73E-06	1.00E-05	0.114093299							
3q=	male	1.11E-05	8.53E-06	2.54E-06	-0.229445853	-4.55E-06	9.39E-06	0.242559276							
4q-	female	5.19E-06	8.10E-06	2.91E-06	0.560448049	-4.60E-06	1.03E-05	0.225957538							
4q-	male	1.52E-05	8.10E-06	7.12E-06	-0.468071099	-2.27E-06	1.50E-05	0.062791436							
4q=	female	1.25E-05	1.47E-05	2.16E-06	0.172491183	-7.67E-06	1.10E-05	0.333215052							
4q=	male	7.43E-06	4.10E-05	3.36E-05	4.520215633	9.55E-06	5.41E-05	0.002132997							
5q-	female	2.07E-05	1.11E-05	9.61E-06	-0.463957426	5.05E-07	1.87E-05	0.023517102							
5q-	male	6.07E-06	5.92E-06	1.50E-07	-0.024752475	-7.42E-06	6.72E-06	0.490563392							
5q=	female	1.04E-05	3.31E-06	7.05E-06	-0.680851064	-3.74E-07	1.38E-05	0.030741159							
5q=	male	9.03E-06	4.00E-06	5.03E-06	-0.557478917	-4.33E-06	1.37E-05	0.147634544							
6p=	female	2.11E-05	8.36E-06	1.27E-05	-0.603913374	1.52E-06	2.27E-05	0.01271502							
6p=	male	2.09E-05	8.19E-06	1.27E-05	-0.608716475	5.05E-07	2.37E-05	0.017420937							
7q-	female	7.52E-06	7.61E-06	8.62E-08	0.011460554	-5.45E-06	5.05E-06	0.489091851							
7q-	male	7.88E-06	1.07E-05	2.85E-06	0.361323155	-3.94E-06	9.39E-06	0.214814396							
7q=	female	1.04E-05	3.47E-06	6.98E-06	-0.668200997	-3.23E-07	1.33E-05	0.026687965							
7q=	male	7.94E-06	1.96E-06	5.98E-06	-0.753343427	-1.98E-06	1.33E-05	0.064049607							
8+	female	6.72E-06	2.57E-06	4.15E-06	-0.617883756	-3.33E-06	1.06E-05	0.134586745							
8+	male	4.56E-06	5.77E-06	1.21E-06	0.265261309	-4.98E-06	6.88E-06	0.356184986							
8q=	female	7.94E-06	-8.17E-07	8.76E-06	-1.102852095	1.54E-06	1.51E-05	0.00649778							
8q=	male	1.24E-05	1.07E-05	1.77E-06	-0.142212917	-6.57E-06	9.72E-06	0.3439624							
9p=	female	2.33E-05	1.35E-05	9.82E-06	-0.422040465	-2.63E-06	2.15E-05	0.060728954							
9p=	male	2.69E-05	3.64E-05	9.52E-06	0.353685778	-6.11E-06	2.39E-05	0.112287569							
9q=	female	2.52E-05	1.66E-05	8.56E-06	-0.339562624	-5.56E-06	2.07E-05	0.109996892							
9q=	male	2.64E-05	2.64E-05	8.02E-09	-0.000303951	-1.42E-05	1.31E-05	0.501999277							
